point 1,point 2,point 3
[456 764],[508 744],[568 744]
[473 762],[529 748],[580 753]
[493 767],[543 752],[597 767]
[502 767],[554 752],[605 769]
[503 771],[558 753],[612 770]
[518 770],[556 752],[606 776]
[518 773],[563 754],[602 781]
[522 775],[551 749],[598 782]
[524 777],[559 747],[593 779]
[520 775],[553 744],[589 779]
[526 776],[557 744],[590 779]
[522 773],[554 744],[584 772]
[536 764],[588 754],[647 758]
[542 766],[592 743],[655 754]
[552 764],[604 753],[665 761]
[560 770],[618 755],[685 761]
[589 768],[641 756],[691 773]
[598 775],[638 752],[681 771]
[602 782],[635 754],[669 779]
[609 779],[640 756],[670 781]
[606 774],[637 745],[667 775]
[606 779],[640 748],[668 785]
[607 776],[634 754],[669 775]
[610 776],[643 751],[667 774]
[607 776],[640 743],[667 774]
[612 775],[649 747],[683 774]
[616 767],[655 742],[701 771]
