point 1,point 2,point 3
[469 785],[550 698],[624 784]
[469 784],[551 698],[624 786]
[474 785],[554 697],[625 785]
[476 784],[554 696],[625 786]
[476 785],[555 697],[624 785]
[478 784],[555 698],[623 785]
[479 785],[556 697],[624 786]
[478 785],[557 698],[624 785]
[480 785],[556 698],[624 787]
[480 784],[557 698],[624 786]
[481 786],[557 698],[624 786]
[481 786],[557 698],[624 785]
[481 785],[558 698],[625 787]
[481 785],[558 697],[624 786]
[481 784],[558 697],[624 785]
[481 784],[557 697],[624 787]
[481 784],[558 697],[624 785]
[481 785],[558 697],[624 785]
[481 784],[557 697],[624 785]
[482 783],[558 695],[624 784]
[482 783],[560 696],[627 783]
[483 783],[566 697],[640 784]
[484 779],[587 704],[680 781]
[486 779],[587 704],[682 782]
[494 780],[591 701],[682 782]
[509 783],[598 700],[681 783]
[523 785],[607 698],[684 783]
[528 784],[610 697],[684 784]
[531 783],[610 696],[684 785]
[540 784],[615 695],[684 785]
[541 785],[615 695],[684 785]
[543 784],[617 696],[684 785]
[546 786],[618 696],[684 785]
[546 785],[618 696],[684 786]
[551 787],[621 697],[683 786]
[551 787],[622 697],[684 786]
[550 788],[621 698],[684 787]
[550 788],[621 698],[684 788]
[551 788],[622 698],[683 787]
[551 787],[621 698],[683 787]
[552 787],[621 698],[683 787]
[552 789],[621 698],[683 787]
[551 787],[621 698],[684 787]
[551 787],[621 697],[684 786]
[551 786],[621 697],[684 786]
[551 787],[621 696],[684 786]
[551 785],[620 696],[684 785]
[551 784],[620 694],[684 785]
[550 784],[620 694],[684 785]
[552 783],[629 696],[697 785]
[555 784],[637 697],[712 784]
[552 780],[654 703],[748 781]
[552 780],[652 702],[749 782]
[554 781],[653 702],[749 781]
[565 782],[657 701],[749 782]
[577 784],[667 700],[751 784]
[589 784],[673 698],[751 784]
[593 784],[675 697],[751 785]
[598 784],[679 697],[751 785]
[605 784],[683 696],[752 786]
[606 784],[683 696],[752 787]
[607 785],[683 696],[753 787]
[608 785],[684 697],[752 787]
[608 785],[684 697],[753 787]
[611 785],[685 697],[752 787]
[611 785],[686 697],[752 787]
[611 785],[686 697],[752 787]
[613 786],[686 697],[752 787]
[612 786],[687 698],[753 787]
[612 786],[687 697],[753 787]
[612 786],[687 697],[753 786]
[612 785],[687 697],[753 786]
[612 785],[687 697],[753 787]
[612 784],[687 697],[753 786]
[613 785],[686 697],[753 786]
[613 784],[687 696],[753 786]
[613 784],[687 696],[753 785]
[613 784],[687 694],[753 786]
[613 783],[688 694],[756 784]
[613 783],[698 697],[771 784]
[613 783],[698 697],[771 784]
